,device_category,platform,Live Channel,Livestream,Timeshift Channel,Video on Demand,Total,Total Raw
0,mobile,ANDROID,325800,,61005,177292,564097,3621682
1,smart tv,ANDROID,942,,88,183,1213,10377
2,tablet,ANDROID,11151,,2663,8150,21964,126351
3,mobile,IOS,7868,,1820,19445,29133,2857997
4,tablet,IOS,757,,149,1392,2298,211688
5,desktop,WEB,75282,,22314,0,97596,281502
6,mobile,WEB,2148,,352,0,2500,6916
7,smart tv,WEB,34,,23,0,57,269
8,SUM,,423982,0.0,88414,206462,718858,7116782
