,device_category,platform,Live Channel,Livestream,Timeshift Channel,Video on Demand,Total,Total Raw
0,mobile,ANDROID,274718,,73556,256229,604503,3966789
1,smart tv,ANDROID,565,,125,285,975,9484
2,tablet,ANDROID,9546,,3045,9982,22573,136193
3,mobile,IOS,5424,,1286,16822,23532,3608714
4,tablet,IOS,365,,50,1215,1630,235053
5,desktop,WEB,74631,,24190,0,98821,296019
6,mobile,WEB,1935,,330,0,2265,6687
7,smart tv,WEB,39,,32,0,71,279
8,SUM,,367223,0.0,102614,284533,754370,8259218
