,device_category,platform,Live Channel,Livestream,Timeshift Channel,Video on Demand,Total,Total Raw
0,mobile,ANDROID,325391,11,107867,221739,655008,4309783
1,smart tv,ANDROID,698,0,50,562,1310,9445
2,tablet,ANDROID,10799,0,3247,8659,22705,140131
3,mobile,IOS,20705,0,5963,29717,56385,4558149
4,tablet,IOS,1464,0,297,2286,4047,275628
5,desktop,WEB,87859,0,36777,0,124636,363245
6,mobile,WEB,1749,0,333,0,2082,6496
7,smart tv,WEB,62,0,19,0,81,304
8,SUM,,448727,11,154553,262963,866254,9663181
