,device_category,platform,Live Channel,Livestream,Timeshift Channel,Video on Demand,Total,Total Raw
0,mobile,ANDROID,323770,13,94692,251238,669713,4246424
1,smart tv,ANDROID,619,0,34,556,1209,11916
2,tablet,ANDROID,11394,6,3388,9460,24248,143695
3,mobile,IOS,4385,0,1042,10620,16047,4343171
4,tablet,IOS,315,0,101,661,1077,254430
5,desktop,WEB,66450,0,26770,0,93220,327757
6,mobile,WEB,1213,0,277,0,1490,6028
7,smart tv,WEB,49,0,11,0,60,282
8,SUM,,408195,19,126315,272535,807064,9333703
